id,seasonYear,season,genres,title.english,title.native,title.romaji
10687,2014,spring,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",,聖闘士星矢 LEGEND of SANCTUARY,"['Saint Seiya (2014)', 'Saint Seiya (Movie)']"
961,1995,fall,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Shounen']",,バーチャファイター,[]
35267,2017,spring,"['Action', 'Shounen']",,"進撃の巨人展360°体感シアター“哮""","['Attack on Titan Exhibition 360-degree: Experience Theater ""Roar""', 'Taikan Theater ""Hoeru""']"
36803,2018,spring,"['Action', 'Comedy', 'Drama', 'Josei', 'Supernatural', 'Vampire']",,劇場版 SERVAMP -Alice in the Garden-,['Gekijouban Servamp: Alice in the Garden']
7367,2009,fall,"['Action', 'Fantasy', 'Shounen']",,ナルト サ・クロスローズ,"[""Naruto's 10th Anniversary""]"
21195,2008,spring,"['Action', 'Comedy', 'Fantasy']",,ソウルイーターレイトショー,[]
10702,2011,summer,"['Action', 'Fantasy', 'Martial Arts', 'Sci-Fi', 'Supernatural']",Tekken: Blood Vengeance,鉄拳 BLOOD VENGEANCE,[]
10191,2011,spring,"['Comedy', 'Parody', 'School', 'Sci-Fi', 'Shounen']",,かってに改蔵,['Katteni Kaizou']
49361,2021,fall,"['Fantasy', 'Mystery', 'Supernatural']",Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note Special,ロード・エルメロイⅡ世の事件簿 -魔眼蒐集列車 Grace note- 特別編,"[""Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note - Special Episode""]"
1492,2001,spring,"['Action', 'Martial Arts', 'Super Power']",Project ARMS,プロジェクトアームズ,['ARMS']
470,2005,summer,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",My Wife is a High School Girl,おくさまは女子高生,"['Oku-sama wa Joshi Kousei', 'Oku-sama wa Joshikosei']"
3286,2006,spring,['Hentai'],Do You Know the Milfing Man?,義母の吐息 ～背徳心に漂う母の色香～,[]
471,2005,fall,"['Comedy', 'Drama', 'Harem', 'Romance', 'School', 'Slice of Life']",To Heart 2,トゥハート2,['ToHeart2']
51673,0,,"['Adventure', 'Comedy', 'Shounen', 'Super Power', 'Supernatural']",,SHAMAN KING,[]
13019,2012,winter,['Hentai'],,アネキの口内解禁日,[]
18653,2013,summer,"['Hentai', 'Mythology', 'Supernatural']",,JKとオーク兵団～悪豚鬼に凌虐された聖女学園～,[]
33768,2016,fall,['Hentai'],,おいでよ！私立ヤリま×り学園,[]
3050,2004,fall,"['Hentai', 'School']",Panty Flash Teacher,パンチラティーチャー,[]
20971,2014,spring,"['Music', 'Reverse Harem', 'School', 'Shoujo']",La corda d'oro: Blue♪Sky,金色のコルダ Blue♪Sky,"['Kiniro no Chord Blue♪Sky', ""La Corda D'Oro Blue♪Sky"", 'Kin-iro no Corda 3', ""Kin'iro no Chord 3""]"
3053,1986,fall,"['Comedy', 'Drama', 'Kids', 'Sports', 'Team Sports']",Fight! Kickers,がんばれ！キッカーズ,['Die Kickers']
35823,2017,spring,"['Comedy', 'Fantasy', 'School', 'Seinen', 'Vampire']",Interviews With Monster Girls: The Demi-chans' Summer Break,亜人ちゃんは語りたい 亜人ちゃんの夏休み,['Demi-chan wa Kataritai Episode 13']
48626,2021,spring,"['Hentai', 'School']",,J〇フーゾク学園祭,"['JK Fuuzoku Gakuensai, JKフーゾク学園祭']"
502,1986,fall,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super Power']",Dragon Ball: Curse of the Blood Rubies,ドラゴンボール 神龍の伝説,[]
36855,2017,fall,['Comedy'],,「映画 中二病でも恋がしたい！ -Take On Me-」ミニドラマ『公開直前の・・・回顧劇場』,"['Love, Chunibyou and Other Delusions Take On Me Mini-Theater']"
40197,2019,fall,"['Comedy', 'School', 'Slice of Life']",,浦島坂田船の日常,[]
33291,2016,summer,['Hentai'],,PINKERTON,[]
38669,2020,fall,"['Idols (Male)', 'Music']",,ツキウタ. THE ANIMATION 2,"['Tsukiuta. The Animation Second Season', 'Tsukiani. 2']"
273,2003,winter,"['Drama', 'Iyashikei', 'Shounen', 'Slice of Life']",Someday's Dreamers,魔法遣いに大切なこと,[]
1043,1992,fall,"['Action', 'Mystery', 'Supernatural']",,東京ＢＡＢＹＬＯＮ,['Tokyo Babylon 2']
3349,2009,fall,"['Action', 'Comedy', 'Sci-Fi', 'Super Power']",Kiddy Girl-AND,キディ・ガーランド,['Kiddy Grade 2']
16149,2013,spring,"['Combat Sports', 'Comedy', 'Romance', 'Sports']",,KICK-HEART,[]
49430,0,,"['Boys Love', 'Drama', 'Romance', 'Vampire']",,MIGNON 민용,[]
38431,2018,fall,"['Action', 'Fantasy', 'School', 'Supernatural']",,PERSONA5 the Animation (2018),"['Persona 5 the Animation (2018)', 'Persona 5 the Animation: Stars and Ours', 'Persona 5 the Animation: Dark Sun...']"
289,2001,spring,"['Comedy', 'Drama', 'Otaku Culture']",Comic Party,こみっくパーティー,[]
40228,2019,fall,"['Comedy', 'Kids', 'Slice of Life']",Bananya and the Curious Bunch,ばなにゃ ふしぎななかまたち,[]
8234,1969,fall,"['Adventure', 'Comedy', 'Fantasy', 'Slice of Life']",,ムーミン,"['Mumin', 'Moomin']"
35118,2008,summer,"['Comedy', 'Shounen']",,BLEACH カラブリ！護廷十三屋台大作戦！,"['Bleach Jump Festa Anime Tour 2008', 'Bleach Colorful!: Gotei Juusan Yatai Daisakusen!']"
